Player,Age,Team,Season,Minutes,PSxG +/- per 90,Crosses Stopped % per 90,Def Actions Outside Penalty Area per 90,Goals Against per 90,Rating
Francesca Durante,26,Internazionale,2023-24,341,0.16,0.11,0.06,2.11,0.15
Pauline Peyraud-Magnin,31,Juventus,2023-24,2070,0.66,0.1,0.11,1.13,6.41
Roberta Aprile,22,Juventus,2023-24,270,0.74,0.45,0.0,0.33,0.88
Laura Giuliani,30,Milan,2023-24,1890,0.73,0.12,0.3,1.14,6.8
Selena Babb,27,Milan,2023-24,449,0.65,0.35,0.3,1.2,1.45
Doris Bačić,28,Napoli,2023-24,1800,0.8,0.13,0.04,1.65,6.64
Beatrice Beretta,20,Napoli,2023-24,450,0.51,0.23,0.05,2.4,1.01
Amanda Tampieri,26,Sampdoria,2023-24,1980,0.79,0.05,0.07,1.5,7.07
Kerttu Karresmaa,18,Sampdoria,2023-24,360,0.26,0.35,0.0,2.25,0.41
Solène Durand,28,Sassuolo,2023-24,2139,0.65,0.13,0.27,1.51,6.86
Camelia Ceasar,24,AS Roma,2022-23,1620,0.55,0.05,0.39,1.0,5.58
Emma Lind,27,AS Roma,2022-23,540,0.57,0.39,0.49,0.17,2.15
Sara Cetinja,22,ASD Calcio Pomigliano,2022-23,2340,0.5,0.03,0.26,1.88,7.17
Mária Korenčiová,33,FC Como,2022-23,1440,0.48,0.06,0.28,1.81,4.29
Beatrice Beretta,19,FC Como,2022-23,847,0.57,0.14,0.32,1.49,3.01
Katja Schroffenegger,31,Fiorentina,2022-23,1350,0.44,0.13,0.07,1.8,3.52
Rachele Baldi,27,Fiorentina,2022-23,990,0.44,0.35,0.13,2.18,2.86
Francesca Durante,25,Internazionale,2022-23,1962,0.66,0.01,0.15,1.15,7.4
Alessia Piazza,24,Internazionale,2022-23,378,0.12,0.22,0.35,3.1,0.34
Pauline Peyraud-Magnin,30,Juventus,2022-23,1800,0.58,0.08,0.26,1.35,6.39
Roberta Aprile,21,Juventus,2022-23,523,0.3,0.34,0.32,1.2,1.14
Laura Giuliani,29,Milan,2022-23,2301,0.53,0.1,0.52,1.64,8.25
Alessia Cappelletti,23,Parma,2022-23,1665,0.48,0.05,0.72,2.27,5.73
Gloria Ciccioli,22,Parma,2022-23,675,0.4,0.24,0.4,2.4,1.86
Amanda Tampieri,25,Sampdoria,2022-23,1890,0.53,0.09,0.16,1.52,5.97
Kirvil Schau Odden,30,Sampdoria,2022-23,450,0.16,0.26,0.3,3.6,0.53
Isabella Kresche,23,Sassuolo,2022-23,1743,0.55,0.11,0.44,1.45,6.26
Lia Lonni,22,Sassuolo,2022-23,327,0.48,0.38,0.41,1.38,1.03
Nicole Lauria,22,Sassuolo,2022-23,270,0.79,0.0,0.37,1.0,1.14
Camelia Ceasar,23,AS Roma,2021-22,1697,0.67,0.03,0.21,0.9,6.22
Emma Lind,26,AS Roma,2021-22,270,0.78,0.72,0.13,0.33,1.26
Sara Cetinja,21,ASD Calcio Pomigliano,2021-22,1710,0.74,0.04,0.22,2.11,6.96
Anna Rosa Buhigas,26,ASD Calcio Pomigliano,2021-22,270,0.45,1.0,0.19,2.0,0.91
Alessia Cappelletti,22,Empoli,2021-22,1530,0.68,0.07,0.21,1.53,5.79
Gloria Ciccioli,21,Empoli,2021-22,439,0.24,0.05,0.23,2.46,0.57
Katja Schroffenegger,30,Fiorentina,2021-22,1336,0.6,0.04,0.15,1.28,4.36
Sabrina Tasselli,31,Fiorentina,2021-22,630,0.0,0.12,0.06,2.71,0.0
Benedicte Håland,23,Hellas Verona,2021-22,900,0.47,0.04,0.19,3.4,2.32
Fanny Keizer,21,Hellas Verona,2021-22,900,0.25,0.02,0.02,2.8,1.09
